click,purchase,userid,121,122,124,125,126,127,128,129,itemid,domain,207,210,216,508,509,702,853,301,109_14,110_14,127_14,150_14,D109_14,D110_14,D127_14,D150_14,D508,D509,D702,D853,train_tag
0,0,0,23,6,1,4,1,1,1,4,41347,27,284914,28453,112992,1521,0,0,14439,1,20,3209,6310,38,4,0,1,4,3,0,0,0,2
0,0,178767,1,2,2,2,0,1,1,4,41774,6,34527,36212,111672,221,0,0,16788,3,133,12294,12090,10,1,0,1,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,41501,2,14770,6757,53,23,2840,17,0,1,181,12846,770,25,0,0,1,2,0,5,5,0,1
0,0,14165,56,1,1,1,2,1,1,2,41491,27,283484,22183,296,1521,0,580,14439,1,20,22588,864,117,4,5,1,1,3,0,3,2,1
0,0,195824,1,3,2,1,0,2,1,0,41442,11,144662,21924,25289,0,0,0,0,1,48,19267,4547,5718,3,0,1,4,0,0,0,0,2
0,0,0,1,11,1,6,0,2,1,0,41437,6,184986,4429,104241,0,0,0,0,3,324,85811,38983,12667,1,0,1,0,0,0,0,0,1
0,0,200286,23,6,1,4,1,1,1,4,41360,20,66733,3840,10519,1928,19776,12558,7378,1,22,12261,1698,1429,1,0,4,1,4,2,3,4,0
0,0,68678,0,0,0,0,0,0,0,0,41271,2,282434,4257,53,23,0,17,263,3,907,3112,4258,1037,0,2,2,1,4,0,4,3,0
0,0,0,56,1,1,1,2,1,1,1,41225,0,48871,1589,24909,117,18899,12071,0,1,49,64772,23905,39,1,1,1,2,3,2,2,0,0
0,0,197755,1,6,1,4,0,1,1,0,41215,11,4214,23275,0,318,57651,0,9565,1,60,751,462,351,1,0,1,2,2,0,0,1,0
0,0,0,1,7,2,4,0,1,1,4,41171,6,72554,16310,48807,221,0,17920,12300,1,1155,1064,340,346,1,3,2,9,4,0,2,3,1
0,0,181853,5,5,1,2,3,1,1,2,41032,1,12842,4508,4551,12,2407,1115,2146,3,1036,91702,47667,6604,4,2,4,3,5,2,5,0,1
0,0,191081,1,7,2,4,0,1,1,2,41026,12,183920,8644,26355,259,0,11159,0,1,9,4399,2526,1008,0,0,1,1,3,0,0,0,1
0,0,203685,29,12,2,3,1,1,1,1,41021,2,100593,9902,78066,23,0,0,185,3,565,106907,5,4655,4,1,3,1,5,0,0,6,0
0,0,177007,0,0,0,0,0,0,0,0,40933,19,196822,11005,83701,0,0,0,0,3,359,19292,23464,384,0,0,1,2,0,0,0,0,0
0,0,145132,44,5,1,2,1,1,1,2,40913,2,81689,50273,0,23,0,0,3814,3,413,4505,52,460,0,1,3,1,4,0,0,2,1
0,0,145081,15,8,1,5,1,1,1,3,40888,0,25377,655,53,117,0,17,331,3,60,2949,25003,967,0,3,1,0,6,0,6,5,2
0,0,112833,1,7,2,4,0,2,1,0,40837,3,129300,3027,41,64,0,13,1057,1,78,69,646,233,2,0,2,3,5,0,1,3,1
0,0,92379,1,6,1,4,0,1,1,3,40812,2,9749,1519,0,23,0,0,0,1,10,1064,9774,31,4,0,2,0,2,0,0,0,0
0,0,10883,17,11,1,6,3,1,1,4,40774,0,76958,18730,20400,117,29572,10014,142,3,21,59,283,39,1,1,1,4,5,0,0,3,2
0,0,162886,1,3,2,1,0,1,1,4,40705,1,60783,1028,519,12,0,0,269,3,60,83,1850,346,4,1,1,2,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,40695,1,257346,1972,0,12,0,0,0,3,93,6110,1094,298,1,0,1,0,3,2,0,0,2
0,0,80539,1,1,1,1,0,2,1,4,40605,1,37959,297,19923,12,0,0,18,3,323,9957,13024,5168,0,0,1,3,3,0,0,1,1
0,0,155156,0,0,0,0,0,0,0,0,40568,5,256346,1871,0,0,0,0,0,3,1477,59193,20406,1729,0,0,1,1,0,0,0,0,0
0,0,96090,42,10,2,6,1,1,1,2,40491,4,3017,12877,0,21,568,0,14869,1,2,3771,126,921,0,2,1,0,2,2,0,2,0
0,0,204854,1,9,2,5,0,1,1,0,40343,27,277730,40249,27416,1521,0,0,0,1,166,9576,5,2510,2,0,1,4,2,0,0,0,2
0,0,108555,1,5,1,2,1,2,1,0,40337,29,277702,58149,95820,0,0,0,0,3,77,372,14834,298,1,0,1,0,0,0,0,0,1
0,0,189619,1,11,1,6,0,2,1,0,40269,1,42924,4039,0,12,0,0,4497,1,55,636,408,39,0,1,1,4,5,0,0,1,0
0,0,28009,0,0,0,0,0,0,0,0,40250,0,44565,706,0,117,10154,0,142,3,9,1163,751,38,2,0,1,6,7,3,0,4,1
0,0,111569,30,5,1,2,3,1,1,4,40234,1,244970,1550,41,12,0,0,200,3,109,3701,79,101,4,0,1,2,4,0,0,3,0
1,0,193051,1,8,1,5,0,2,1,0,40224,26,3312,52177,2029,0,0,0,0,3,75,43197,9765,2351,1,0,1,4,0,0,0,0,1
0,0,1260,1,1,1,1,0,2,1,3,40046,16,276088,7638,296,963,0,580,0,3,281,453,9,1,0,0,1,4,0,0,1,0,1
0,0,23996,1,2,2,2,0,1,1,2,40010,8,19557,12711,5506,98,0,0,0,1,124,9952,591,521,0,0,1,4,2,0,0,0,1
0,0,0,17,11,1,6,3,1,1,3,39983,11,63104,13335,31238,318,0,0,0,3,157,1346,1094,1,2,0,1,4,1,0,0,0,2
0,0,108634,28,6,1,4,3,1,1,4,39906,0,11681,11699,2524,117,0,641,0,3,278,404,113,24924,0,0,1,2,1,0,0,0,0
0,0,12054,1,3,2,1,0,1,1,3,39629,27,153323,40249,801,1521,52706,233,0,3,20,30,178,1768,3,0,1,0,2,0,1,0,0
0,0,38160,1,3,2,1,0,1,1,2,39627,4,7376,19041,4345,21,5558,4030,0,1,38,18252,5214,814,6,1,3,2,3,3,4,0,0
0,0,191406,1,2,2,2,0,3,1,0,39585,29,96357,3885,7891,1657,0,0,32955,3,291,138,2864,2628,3,0,1,2,2,0,0,0,1
0,0,93392,7,7,2,4,1,1,1,1,39584,20,199615,3840,84708,1928,0,0,7378,3,93,80609,289,36,1,0,1,4,2,2,2,1,0
0,0,82234,13,3,2,1,3,1,1,3,39544,4,111,17764,0,21,0,0,459,3,38,2699,391,527,0,0,1,2,3,0,0,3,2
0,0,53806,43,7,2,4,1,1,1,3,39544,4,111,17764,0,0,0,0,0,1,450,7030,12744,26,0,0,1,0,0,0,0,0,0
0,0,76313,23,6,1,4,1,1,1,3,39521,3,220293,9795,91910,64,0,0,18534,3,38,2470,1230,783,3,0,3,3,3,2,2,0,0
1,0,79557,1,6,1,4,0,1,1,2,39505,27,169737,40249,0,1521,103924,0,25252,1,20,37176,591,204,5,0,1,2,4,0,0,3,0
0,0,167270,1,9,2,5,0,1,1,0,39431,3,54571,12698,68,64,0,0,0,3,198,10482,6127,187,1,0,1,1,1,0,0,0,0
0,0,157405,31,9,2,5,3,1,1,4,39403,9,142637,268,0,0,0,0,0,3,2368,28363,6337,6657,0,1,1,0,0,0,0,0,0
0,0,87585,10,6,1,4,1,1,1,1,39368,1,51175,292,8364,12,0,0,0,1,405,65596,1094,1349,0,2,1,2,0,0,0,0,2
0,0,162185,1,1,1,1,0,1,1,4,39309,7,43888,27911,0,924,0,0,0,1,60,626,521,415,1,0,1,2,2,0,0,0,2
0,0,107502,15,8,1,5,3,1,1,3,39149,3,120684,4481,223,64,0,0,0,1,122,46068,543,166,1,0,1,3,1,0,0,0,0
0,0,17803,1,1,1,1,0,1,1,0,39148,6,20706,35892,7211,221,0,0,18293,1,144,12512,29,4384,1,0,1,1,1,0,0,0,0
0,0,36363,37,5,1,2,1,1,1,1,39088,18,2763,2095,1121,432,6237,1847,21720,3,688,321,1465,1104,4,0,1,2,3,1,3,0,1
0,0,159281,14,2,2,2,1,1,1,2,38809,3,129313,527,58451,64,0,0,1057,1,4,10197,33862,661,1,0,1,2,1,0,0,1,2
0,0,71716,0,0,0,0,0,0,0,0,38749,1,9167,54991,0,12,0,0,53,3,11,93360,6897,1,1,0,3,0,5,0,0,4,0
0,0,150669,1,3,2,1,0,1,1,2,38686,14,110033,2510,525,0,0,0,0,3,158,5356,32839,601,1,3,1,0,0,0,0,0,0
0,0,192906,1,1,1,1,0,1,1,0,38622,2,146733,11737,0,23,0,0,0,3,133,40755,173,20,1,2,2,1,0,0,0,0,1
0,0,208423,56,1,1,1,2,1,1,2,38609,2,11700,1583,6685,23,0,0,0,1,1187,1662,402,24,1,0,1,0,1,0,0,0,0
0,0,106613,1,5,1,2,0,1,1,0,38593,0,57660,708,0,117,0,0,0,3,223,0,654,1425,2,1,1,0,3,0,0,0,2
0,0,151521,1,6,1,4,0,1,2,3,38526,16,267982,57193,5598,0,0,0,0,3,379,2362,9280,430,0,2,2,0,0,0,0,0,0
0,0,98014,1,8,1,5,0,2,1,0,38526,16,267982,23467,5598,0,0,0,0,1,1571,58431,14737,464,1,1,3,5,0,0,0,0,1
0,0,21402,1,4,1,3,0,1,1,4,38505,16,15608,67859,8879,0,0,0,0,1,37,7564,2526,473,0,0,3,3,0,0,0,0,0
0,0,179884,1,10,2,6,0,1,1,4,38392,3,267221,60045,17094,64,0,0,0,1,471,15576,362,1771,2,0,2,0,2,0,0,0,1
0,0,158101,1,3,2,1,0,1,1,0,38374,2,81689,11053,0,23,0,0,262,1,810,597,1310,10,0,0,1,2,2,0,0,1,0
0,0,15865,28,6,1,4,3,1,1,3,38262,0,82136,1087,0,117,21782,0,168,3,176,946,340,217,1,3,1,0,5,4,0,2,0
0,0,47409,1,5,1,2,0,2,1,0,38242,12,185702,9507,79541,0,0,0,0,3,6,7258,155,784,0,0,2,2,0,0,0,0,1
0,0,146756,1,7,2,4,0,1,1,1,38214,3,121320,2564,55359,64,71864,37925,10623,1,133,2251,96,986,1,2,1,1,5,3,3,3,0
0,0,150543,34,7,2,4,2,1,1,3,38083,10,83848,59751,18637,75,81091,52926,0,3,823,55051,585,14677,6,0,1,1,5,3,0,0,1
0,0,88421,1,5,1,2,0,1,1,2,38041,0,16871,10641,0,117,0,0,438,1,45,40048,864,185,1,3,1,5,5,0,0,3,0
0,0,22329,47,5,1,2,1,1,1,4,37835,1,254347,60,167,12,0,43,59,3,385,59115,55,101,1,0,1,3,5,0,0,4,2
0,0,99528,22,8,1,5,1,1,1,2,37795,1,179473,60,0,12,0,0,0,1,679,746,1397,236,3,0,3,2,1,0,0,0,1
0,0,0,1,5,1,2,0,1,1,2,37391,1,162635,8458,0,12,0,0,55,3,122,376,378,1,1,1,1,0,1,0,0,0,2
0,0,103997,1,1,1,1,1,1,1,0,37378,0,261697,12199,105774,117,0,0,331,1,20,4354,2435,38,0,0,2,6,6,0,0,5,2
0,0,205957,1,6,1,4,0,2,1,0,37368,0,26959,1513,14649,117,11607,7792,0,1,4,28317,2691,246,3,3,4,1,2,0,0,0,0
0,0,0,1,10,2,6,0,2,1,0,37327,4,127777,24660,2321,21,61647,587,25779,1,248,1078,6715,139,0,0,1,3,3,3,5,0,1
0,0,0,1,6,1,4,0,2,1,0,37296,0,261309,1087,0,117,0,0,168,3,24,21366,171,38,1,1,1,3,3,0,0,0,2
0,0,89042,1,6,1,4,0,1,1,2,37283,5,10330,1871,5955,25,0,0,606,3,7,9205,1249,21,1,1,1,1,4,0,0,2,2
0,0,55177,47,5,1,2,1,1,1,4,37237,6,59412,24321,63263,0,0,0,0,1,34,200,18131,441,2,0,3,1,0,0,0,0,0
0,0,173480,23,6,1,4,1,1,1,4,37123,1,130585,318,0,12,0,0,59,3,20,1446,303,44,2,0,3,3,4,0,0,3,1
0,0,0,1,8,1,5,0,1,1,0,37101,15,17644,32641,14639,0,6233,0,0,3,14,0,11362,104,0,0,1,2,0,1,0,0,2
0,0,106370,1,6,1,4,0,3,1,0,36986,0,2199,1588,0,117,0,0,619,3,144,3749,11751,38,0,3,1,3,4,0,0,2,2
0,0,134647,28,6,1,4,3,1,1,4,36977,0,188315,7865,0,117,106215,0,145,3,20,1707,2761,38,1,0,1,2,4,1,0,3,2
0,0,178284,1,1,1,1,1,3,1,0,36867,1,118640,32105,11507,12,0,0,4280,3,84,22467,10254,7698,1,1,1,2,2,0,0,1,0
0,0,42540,0,0,0,0,0,0,0,0,36850,5,2595,1871,0,25,0,0,0,3,448,1198,8939,2735,0,0,1,2,2,0,0,0,0
0,0,120047,1,3,2,1,0,1,1,2,36693,29,135713,44534,89848,1657,0,0,8653,3,321,480,28834,3138,1,4,1,1,3,0,0,2,0
0,0,73839,1,10,2,6,0,3,1,0,36591,1,41148,60,187,12,0,0,59,3,1389,93465,30321,3306,0,0,2,1,2,0,0,1,0
0,0,50993,0,0,0,0,0,0,0,0,36591,1,41148,293,187,12,0,47,0,1,60,5406,1026,1494,6,1,1,0,1,0,1,0,1
0,0,141763,1,11,1,6,0,1,2,0,36558,1,19199,15359,0,12,3820,0,18,3,167,404,1591,14,4,0,3,1,3,3,0,1,0
0,0,0,10,6,1,4,1,1,1,1,36479,2,10714,18976,0,23,0,0,0,1,60,15942,1850,217,2,0,3,1,2,0,0,0,1
0,0,114344,77,6,1,4,3,2,1,1,36461,6,257177,2402,25104,0,0,0,0,1,924,2289,28067,167,1,3,2,0,0,0,0,0,0
0,0,0,1,1,1,1,0,1,1,2,36442,3,90123,3191,2321,0,0,0,0,1,270,0,7290,0,1,1,1,1,0,0,0,0,1
0,0,151969,1,6,1,4,0,1,1,3,36416,1,8250,1848,4851,12,0,0,0,1,38,24844,1459,473,2,1,1,4,2,0,0,0,2
0,0,0,44,5,1,2,1,1,1,2,36388,12,53853,4349,27210,0,0,0,0,1,195,0,0,16749,0,0,0,2,0,0,0,0,1
0,0,46222,58,2,2,2,2,1,1,4,36278,3,33785,527,0,64,0,0,461,1,45,5819,55,6700,4,2,1,3,3,0,0,2,2
0,0,94193,1,5,1,2,0,2,1,0,36083,0,247344,41157,101085,117,0,0,0,3,7,77,6,101,2,1,1,1,2,0,0,0,0
0,0,17702,31,9,2,5,3,1,1,4,36075,1,27949,317,4851,12,18518,1553,0,3,227,498,504,527,3,0,1,0,2,1,2,0,0
0,0,0,7,7,2,4,1,1,1,2,35986,2,118473,8034,0,0,0,0,0,1,576,193,27344,160,1,1,1,0,0,0,0,0,1
0,0,115533,1,6,1,4,0,1,1,2,35939,0,251928,10185,0,117,0,0,0,1,229,95481,22533,805,0,0,1,5,1,0,0,0,0
0,0,17131,45,6,1,4,3,1,1,2,35869,0,38046,1589,0,117,0,0,417,3,203,2835,8424,14,2,0,2,1,3,0,0,1,1
0,0,63672,1,11,1,6,0,1,1,0,35687,1,175866,8550,0,12,0,0,200,3,359,3287,330,39,0,0,1,3,4,0,0,1,0
0,0,154084,21,3,2,1,1,1,1,4,35616,0,141227,1087,0,117,0,0,157,3,10,113,596,1056,2,0,1,0,4,0,0,2,1
0,0,117536,1,10,2,6,0,1,1,0,35588,1,146614,994,48,12,0,0,0,3,85,71782,27,1,0,3,2,3,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,35559,2,111111,8034,0,0,0,0,0,1,341,33708,26810,38,1,1,4,1,0,0,0,0,2
0,0,191861,1,7,2,4,0,1,1,3,35440,3,16055,12391,6284,64,10918,7351,0,3,78,4412,136,18574,3,0,2,1,2,1,1,0,2
