click,purchase,userid,121,122,124,125,126,127,128,129,itemid,domain,207,210,216,508,509,702,853,301,109_14,110_14,127_14,150_14,D109_14,D110_14,D127_14,D150_14,D508,D509,D702,D853,train_tag,is_augmented
0,0,184101,1,6,1,4,3,1,1,0,41347,0,20404,1292,63078,117,0,0,0,1,1029,1833,21491,1,2,0,1,5,2,0,0,0,1,FALSE
1,0,23681,56,1,1,1,2,1,1,2,41272,0,58,1530,0,117,14,0,0,3,30,9489,271,14,4,0,1,2,3,2,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,40920,0,1098,5070,0,117,0,0,168,3,1048,1093,218,38,0,0,1,5,6,0,0,3,1,FALSE
0,0,125461,18,8,1,5,3,1,2,2,40643,0,126511,708,78914,117,0,0,0,3,62,3816,58,25,0,2,1,1,1,0,0,0,2,FALSE
0,0,0,47,5,1,2,1,1,1,3,40607,0,38675,706,0,117,8593,0,145,3,47,233,306,39,0,0,1,2,6,3,0,4,1,FALSE
0,0,69329,0,0,0,0,0,0,0,0,40490,0,44313,715,51,117,0,16,417,3,531,1331,33748,44,5,1,1,3,5,0,3,4,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,39959,0,275578,7132,0,117,0,0,619,3,164,99481,2547,1711,5,0,4,0,4,0,0,3,1,FALSE
1,0,137389,1,8,1,5,0,1,1,0,39386,0,71069,1087,0,117,0,0,168,1,93,1651,3158,1,1,0,1,2,4,0,0,3,2,FALSE
0,0,22677,22,8,1,5,3,1,1,2,39046,0,62,1311,43,117,15,14,331,1,21,857,907,39,1,0,1,2,5,3,3,3,0,FALSE
0,0,124711,1,6,1,4,0,1,1,3,38493,0,137161,706,72596,117,83996,43400,157,1,69,9972,4222,6756,2,2,1,0,5,4,3,3,1,FALSE
0,0,0,1,5,1,2,0,2,1,0,38358,0,90058,25668,435,0,0,0,0,3,77,42658,1809,36,1,1,1,0,0,0,0,0,1,FALSE
1,0,32013,62,5,1,2,3,3,1,0,38177,0,4233,1087,2557,117,780,651,7750,3,840,6457,377,1414,2,2,2,2,3,3,3,0,0,FALSE
0,0,176159,1,6,1,4,0,1,1,4,37318,0,127409,1087,0,117,0,0,0,3,3248,2393,77,4959,1,0,1,1,4,0,0,0,0,FALSE
0,0,172011,0,0,0,0,0,0,0,0,37217,0,7068,1589,4163,117,0,0,795,3,60,162,180,38,2,0,1,6,6,0,0,2,0,FALSE
0,0,42745,1,6,1,4,0,2,1,0,37108,0,18701,716,10499,117,38185,22125,146,3,319,10251,88,4531,3,0,1,1,3,0,0,3,0,FALSE
0,0,121964,1,7,2,4,0,1,1,3,37030,0,2424,1313,1501,117,4002,3013,4491,3,67,25435,40,2668,0,0,1,0,4,2,2,3,1,FALSE
0,0,23865,11,6,1,4,1,1,1,2,36737,0,215938,1588,0,117,81572,0,142,1,496,3278,816,912,2,2,1,4,5,3,0,3,1,FALSE
0,0,202611,45,6,1,4,3,1,1,2,36734,0,3885,706,2333,117,0,0,142,3,137,60441,38398,1904,1,0,1,1,2,0,0,1,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,35951,0,10754,706,6188,117,6328,4528,0,3,44,2481,26654,571,0,0,1,1,0,0,0,0,2,FALSE
0,0,51728,1,8,1,5,0,1,1,2,35937,0,11891,1923,6782,117,2209,1726,146,1,6,31,3658,1,4,1,1,0,8,0,0,8,1,FALSE
0,0,170764,1,1,1,1,0,1,1,3,35926,0,15478,3111,8820,117,2995,2349,1814,3,379,5793,180,38,0,0,1,4,5,4,5,2,1,FALSE
0,0,20843,15,8,1,5,1,1,1,4,35725,0,216857,660,51,117,82060,16,331,3,98,14142,2480,38,0,0,1,5,6,2,4,5,0,FALSE
0,0,115552,1,6,1,4,0,1,1,2,35697,0,8584,1313,0,117,0,0,145,3,202,934,2660,1977,1,3,1,3,2,0,0,0,1,FALSE
0,0,127043,0,0,0,0,0,0,0,0,35652,0,122516,655,2524,117,0,641,0,3,359,1845,15562,43,0,0,3,2,3,0,3,0,0,FALSE
0,0,125614,1,2,2,2,0,3,1,0,35618,0,17802,1087,0,117,0,0,619,3,93,10048,308,94,1,3,1,0,2,0,0,2,2,FALSE
