userid,itemid,weekday,domain,sales_chart,sales_rank,brand,price,user_pos_1month_seq,user_neg_1month_seq,user_pos_2month_seq,user_neg_2month_seq,user_pos_6month_seq,user_neg_6month_seq,label,timestamp
1565167,402086,1,0,34,9,11626,4,[],[],[],[],"[381325, 663071, 898220, 325763]",[],1,1519084800
1732371,1098800,5,0,34,9,11626,4,[],[],[],[],[1319070],[],1,1529712000
1739571,809680,1,0,34,9,6201,5,[],[],[],[],[],[],0,1518480000
997258,926759,6,0,34,9,5498,5,[],[],[],[],[],[],0,1507420800
361012,491545,4,0,34,9,6201,4,[971456],[],[971456],[],[971456],[],1,1509667200
1997397,375915,3,0,34,9,484,0,[1061847],[433698],[1061847],[433698],[1061847],[433698],0,1506556800
1706835,722221,3,0,34,9,21032,3,[],[],[],[],"[421549, 870296]",[341830],1,1531958400
2821231,1071258,5,0,34,9,15671,4,[],[],[],"[837239, 465302, 387752]",[],"[978046, 837239, 465302, 387752]",0,1529107200
2623161,1031825,3,0,34,9,5847,4,[],[],[],[],[],"[118140, 27535]",0,1510185600
166920,320745,1,0,42,5,20897,3,[302720],[873998],[302720],[873998],"[308946, 1172273, 344535, 415808, 302720]",[873998],0,1511827200
562531,714953,0,0,34,9,11626,4,[],[],[],[],[],[],0,1509926400
2674240,951565,0,0,34,9,13614,3,[],[],[],[],[],[],0,1507507200
1682705,951564,5,0,34,9,13614,5,[],[],[],[],[],[],0,1513382400
1122765,1326868,0,0,34,9,308,3,[288398],[],[288398],[],[288398],[],0,1508716800
2341302,714394,4,0,34,9,16842,3,[],[],[],[],[],[],1,1509667200
1031142,771142,3,0,34,9,5126,6,[],[],[],[],[],[],1,1525305600
880240,964103,0,0,34,9,484,4,[],[],[],[],[],[],0,1523836800
1604843,796861,4,0,34,9,10307,4,[],[796861],[],[796861],[],[796861],1,1514505600
2784630,802187,4,0,34,9,6201,5,[],[],[],[],"[1143535, 685237, 685238]",[],0,1522972800
651866,1244795,1,0,34,9,8001,4,[1268358],[1065741],[1268358],[1065741],[1268358],[1065741],1,1515456000
656845,1087864,6,1,34,9,11626,3,"[576639, 1147843, 906311, 624730]",[],"[607547, 362278, 362278, 676587, 707617, 576639, 1147843, 906311, 624730]",[307316],"[607547, 362278, 362278, 676587, 707617, 576639, 1147843, 906311, 624730]",[307316],1,1522540800
1732192,1290791,1,1,34,9,11626,4,[],[],[],[],[985673],[],1,1531785600
55491,665461,1,1,34,9,15593,4,[],[],[],[],[],[],0,1511827200
1287457,384460,6,1,34,9,14927,3,[],[],[],[],[],[],1,1516492800
1288465,768259,2,1,34,9,15248,4,"[691505, 570436, 378646]",[1021104],"[691505, 570436, 378646]",[1021104],"[691505, 570436, 378646]",[1021104],1,1504051200
971847,624907,2,1,34,9,4224,1,[],[],[],[],[],[],1,1502841600
111796,1362777,2,1,34,9,11626,4,[],[],[],[],[],[],1,1509494400
201568,367895,2,1,34,9,4224,3,[],[],[],[],[],[],0,1524009600
2368287,644041,3,1,34,9,17160,3,[],[],[],[],[],[],1,1525910400
2554515,708404,0,1,34,9,11626,3,[],[],[],[],[],[],1,1513555200
2719696,699527,2,1,34,9,4014,3,[],[],[],[],[1107661],[],1,1523404800
1650913,398079,5,1,34,9,11626,3,[284711],[],"[1357755, 284711]",[610195],"[1357755, 284711]",[610195],1,1507334400
22967,380774,1,1,34,9,4506,4,[],[],[],[357214],[],[357214],0,1526342400
1054548,1341290,4,1,34,9,16370,4,[75805],[],[75805],[],[75805],[],1,1506643200
1113928,414177,3,1,34,9,10484,4,[],[],[],[],[],[],0,1507161600
2014297,989742,0,1,34,9,11626,4,[],[],[],[],[],[],1,1503273600
