userid,itemid,weekday,domain,sales_chart,sales_rank,brand,price,user_pos_1month_seq,user_neg_1month_seq,user_pos_2month_seq,user_neg_2month_seq,user_pos_6month_seq,user_neg_6month_seq,label,timestamp,is_augmented
2540708,1027390,2,0,14,9,3869,4,[],[],[],[],[],[],1,1511308800,True
2778554,1332001,1,0,34,9,20903,4,[],[],[817301],[],[817301],[],1,1519084800,False
166483,124025,0,0,8,9,11626,3,"[666743, 1208587]",[],"[666743, 1208587]",[],"[666743, 1208587]",[],1,1509926400,True
2676356,449272,6,0,34,9,12314,4,[],[],[],[],[],[],1,1512259200,True
1384921,184219,6,0,8,2,11626,4,[],"[679566, 354518, 1350171, 354518]",[],"[679566, 354518, 1350171, 354518]",[],"[679566, 354518, 1350171, 354518]",1,1510444800,True
2256527,1236308,1,0,39,10,8276,4,[],[],[],[],[],[],1,1519689600,True
2059195,928351,3,0,34,9,6201,4,[],[],[],[998443],[],[998443],0,1520467200,False
2137601,759758,4,0,39,9,11626,5,[1002877],[],"[476849, 381283, 1002877]",[],"[476849, 381283, 1002877]",[],1,1508457600,True
878274,22578,3,0,8,10,11626,4,[],[],[],[],[],[],1,1518652800,True
2247960,1190855,4,0,14,8,22200,5,[],[],[],[],[],[],1,1506038400,True
1797514,1239543,3,0,34,9,11626,1,[],[],[],[],[],[],1,1505347200,True
2376383,289064,1,0,34,9,2417,3,[],"[483121, 448888]",[],"[483121, 448888]",[],"[924136, 483121, 448888]",0,1525737600,False
2526674,1225652,3,0,34,9,20903,4,[],[],[],[],[],[103615],0,1522886400,False
1250628,773938,6,0,37,9,11626,4,[],[],[],[],[],[],1,1518307200,True
823070,1133662,0,0,34,9,7066,4,[832394],[],[832394],[],[832394],[],1,1506902400,True
254344,181395,6,0,8,8,11626,3,[],[],[],[],[202104],[374669],1,1522540800,True
1270824,1076956,4,0,34,9,285,1,[],[],[],"[404062, 612521]",[],"[404062, 612521]",1,1508457600,True
2865827,592758,5,0,34,9,9357,5,[],[],[],"[1345479, 791337]",[],"[1345479, 791337]",0,1507939200,False
1663284,1124520,1,0,34,9,7274,4,[],[],[],[],[],[],1,1502755200,True
2657763,646328,0,0,14,2,22200,4,[],[881437],[],[881437],[],[881437],1,1508112000,True
186181,1099215,4,0,22,9,11939,4,[],[],[],[],[],[],1,1505433600,True
570395,175174,0,0,8,2,11626,4,[],[],[],[],[],[],1,1510531200,True
2035048,1044211,6,0,34,9,8961,4,[],[],[],[],[],[],1,1517097600,False
388584,531321,1,0,39,9,15220,3,[],[],[],[],[],[],1,1504569600,True
712716,1224906,3,0,34,9,20903,5,[],[],[],[],[],[],0,1516233600,False
2623430,838880,4,0,34,9,1846,4,[],[],[],[],[],[],1,1506643200,True
300585,804312,0,0,34,9,16561,4,[],[],[],[],[],[],1,1513555200,True
1462421,531433,6,0,37,10,11626,4,[],[],[],[],[],[],1,1528588800,True
1047802,374179,2,0,34,9,13964,3,[],[],[],[],[],[],1,1504051200,True
1080724,906717,6,0,34,9,17030,5,[],[],[],[],[],[],1,1506211200,True
1387889,479677,1,0,34,9,9133,4,[],[],[],[],[1025265],"[586106, 1010238, 1032456, 270006]",1,1516665600,True
266240,877860,5,0,34,9,11626,4,[],[15308],[],[15308],[14222],"[404125, 36723, 15308]",1,1520640000,True
503384,1003491,2,0,34,9,1056,3,[],[],"[379807, 135357, 121098, 469249]",[],"[643180, 891780, 125213, 83142, 1357696, 938764, 991774, 1315894, 226441, 1297152, 923913, 450240, 1046431, 138639, 379807, 135357, 121098, 469249]",[1018809],1,1512518400,True
2608272,332057,2,1,34,9,3627,3,[],[],"[491642, 343634]",[],"[1113038, 491642, 343634]","[1362301, 1021143, 477523, 483182]",1,1516147200,False
2585266,432226,3,1,34,9,11437,3,[],[],[],[],[],[1088946],1,1518652800,False
523691,385249,3,1,34,9,16511,3,"[138749, 424741, 583230, 375399, 891644, 1206449, 1063288, 327235, 611765, 376590, 349193, 485395, 460338, 360341, 349193, 497755, 360341, 1060940, 826328]",[1351742],"[760182, 1048978, 469169, 138749, 424741, 583230, 375399, 891644, 1206449, 1063288, 327235, 611765, 376590, 349193, 485395, 460338, 360341, 349193, 497755, 360341, 1060940, 826328]",[1351742],"[205307, 1141590, 1010629, 80272, 337161, 760182, 1048978, 469169, 138749, 424741, 583230, 375399, 891644, 1206449, 1063288, 327235, 611765, 376590, 349193, 485395, 460338, 360341, 349193, 497755, 360341, 1060940, 826328]",[1351742],1,1521072000,False
1287396,1356457,5,1,34,9,11201,3,[],[],[583119],"[1357070, 475299]","[207341, 583119]","[1357070, 475299]",1,1517011200,False
787857,544696,2,1,34,9,12380,3,[],[712111],[],[712111],[],[712111],1,1517356800,False
2882693,371921,2,1,34,9,10485,4,[],[],[],[],[],[],0,1524614400,False
279641,967560,2,1,34,9,16963,4,[],[],"[937097, 859053, 304255, 1195782, 390933, 1040233, 984260, 357495, 213643, 235066, 478944, 1232710, 505804, 399684, 1357384, 451248, 933689, 524282, 292253]","[749602, 361682, 304244, 382658, 583990]","[543129, 543129, 735011, 76083, 996187, 840416, 131514, 513825, 1275719, 76040, 129151, 807566, 382641, 910208, 1235965, 937097, 859053, 304255, 1195782, 390933, 1040233, 984260, 357495, 213643, 235066, 478944, 1232710, 505804, 399684, 1357384, 451248, 933689, 524282, 292253]","[172643, 157145, 585755, 641564, 275854, 749602, 361682, 304244, 382658, 583990]",1,1529452800,False
2320445,730447,2,1,34,9,11626,4,[],[],[],[],[],[],1,1505865600,False
955943,1154442,1,1,34,9,3749,4,[],[],[],[],[],[],0,1519689600,False
2903759,774989,1,1,34,9,10678,5,[],[],[],[],[],[],1,1510617600,False
2877886,499366,1,1,34,9,10825,4,[],[],"[781978, 1252169]",[1096225],"[256389, 632823, 781978, 1252169]","[1218188, 1096225]",1,1526947200,False
2510790,741497,0,1,34,9,16511,3,[],[],[],[],[554971],[322515],1,1522627200,False
234937,357354,2,1,34,9,5892,3,[],[],[],[],[],[],1,1508284800,False
334432,554307,6,1,14,10,11166,5,[],[],[],[],[],[],1,1515888000,True
1155043,328365,1,1,34,9,15525,3,[],[462598],[],[462598],[],[462598],1,1505174400,False
1901782,336607,3,1,34,9,5892,3,[956439],[268143],[956439],[268143],[956439],[268143],1,1519257600,False
2741297,637537,2,1,34,9,11626,0,"[987125, 1214404]",[],"[957013, 594768, 90756, 987125, 1214404]","[652729, 1279617]","[414913, 459680, 886084, 393251, 22702, 1271237, 878560, 1339314, 957013, 594768, 90756, 987125, 1214404]","[955759, 1241573, 910218, 652729, 1279617]",0,1527033600,False
1927332,1225495,2,1,34,9,14154,3,[],[],[],[],[],[],0,1527033600,False
2002010,465565,1,1,34,9,5246,3,[],[],[663628],[],[663628],[],0,1507593600,False
1496007,907212,5,1,34,9,2665,3,"[1387, 55225]",[390833],"[1387, 55225]",[390833],"[1926, 1273770, 317492, 1387, 55225]",[390833],0,1518825600,False
604897,565065,5,1,34,9,2884,3,[],[],[],[],[],[],0,1506124800,False
1950820,612879,2,1,34,9,1152,3,[],"[168797, 851128, 234372, 195637, 503873]","[138699, 138791, 213087, 65484]","[1529, 234812, 17711, 114873, 40950, 36714, 222686, 217606, 28645, 168797, 851128, 234372, 195637, 503873]","[138790, 226962, 120476, 138591, 148792, 138777, 19571, 257164, 157726, 205426, 1191612, 133572, 393228, 1159026, 402722, 1297009, 52309, 138699, 138791, 213087, 65484]","[115149, 28547, 9410, 54899, 1259214, 1283407, 227364, 55104, 208812, 168703, 28200, 140528, 11347, 1085422, 28772, 215016, 120477, 96165, 227846, 47208, 205442, 1529, 234812, 17711, 114873, 40950, 36714, 222686, 217606, 28645, 168797, 851128, 234372, 195637, 503873]",1,1517961600,False
543942,595714,2,1,22,10,11626,4,[],[],[],[],[],[246095],1,1522195200,True
1675914,1341290,2,1,34,9,16370,4,[],[],[],[],[],[],0,1531872000,False
2896861,379259,1,1,34,9,9223,1,[],[],[1068198],[],[1068198],"[357411, 357411]",0,1512432000,False
1386796,1314189,3,1,34,9,11626,4,[],[],[],[],[],[],1,1503532800,False
1901509,662265,2,1,34,9,6453,4,[],[],[],[],[],[],1,1521590400,False
777949,1334577,3,1,34,9,11626,1,[608276],[777958],[608276],[777958],[608276],[777958],0,1521072000,False
1340511,1021104,3,1,34,9,11626,5,[],[],[],[],[],[],1,1508371200,False
2354057,1211483,2,1,34,9,769,3,"[532751, 1323620]","[886974, 1177457]","[1008929, 532751, 1323620]","[886974, 1177457]","[1008929, 532751, 1323620]","[1249098, 452137, 795577, 886974, 1177457]",1,1521590400,False
297897,1293560,3,1,34,9,11626,4,[],"[355111, 314195]",[],"[355111, 314195]",[],"[355111, 314195]",1,1522281600,False
1130105,825632,0,1,34,9,12537,4,[],[],[],[],[],[],1,1508112000,True
1427228,1016388,0,1,34,9,21484,7,[],[],[],[],[1276750],[],1,1523836800,False
710621,366658,3,1,34,9,4224,1,[],[],[],[],[],[],1,1510185600,False
688926,1309509,2,1,34,9,11626,1,[],[],[],[],[],[322966],1,1533686400,False
998407,1136435,1,1,34,9,1712,4,[],[],"[794917, 1364376]",[],"[794917, 1364376]",[],1,1518480000,True
2411448,484806,4,1,34,9,11626,3,"[179696, 429543, 93119, 1295731]","[831314, 586778]","[185778, 505299, 28980, 179696, 429543, 93119, 1295731]","[177251, 180654, 865612, 1005682, 831314, 586778]","[28798, 446428, 406577, 432327, 427184, 1168727, 185778, 505299, 28980, 179696, 429543, 93119, 1295731]","[28101, 67608, 40187, 357843, 357843, 635016, 177251, 180654, 865612, 1005682, 831314, 586778]",1,1524182400,False
2120018,791310,1,1,34,9,11626,4,[579234],[],[579234],[],"[447725, 1030564, 579234]",[],1,1522108800,False
162635,708853,4,1,34,9,2665,3,[],[],[],[],[],[],1,1509667200,False
1170883,482428,2,1,34,9,11626,3,[],[],[],[],[],[],0,1510704000,False
1082910,972064,2,1,34,9,11626,3,[],[],[],[],[],[],0,1513123200,False
129431,1083616,0,1,34,9,9451,3,[],[],[],[1089932],[],"[973920, 1119511, 1181817, 1089932]",0,1515369600,False
405480,1027930,6,1,34,9,11626,4,[1062361],[1016459],[1062361],[1016459],"[762116, 1363263, 385293, 698175, 479551, 1062361]",[1016459],1,1527984000,False
353604,923353,3,1,34,9,3854,3,[],[],[],[880704],[],[880704],1,1510185600,False
1916842,299395,6,1,34,9,5246,4,[],[],[],[],[],[1308343],0,1513468800,False
1781131,602930,4,1,34,9,1734,4,[],[],[],[],[],[],0,1524182400,False
1089540,353688,4,1,34,9,3399,4,[],[],[],[],[],[],0,1503014400,False
1658755,464292,2,1,34,9,4742,3,[],[],[],[160420],[],[160420],1,1507075200,False
2346248,687350,1,2,34,9,17294,3,[],[],[],[],[],[],1,1513641600,False
744522,1016522,0,2,34,9,10577,4,[],[],[],[],[],[],0,1526256000,False
2324240,703565,1,2,34,9,12759,5,[],[],[],[],[],[],0,1504569600,False
1911078,1363041,2,2,34,9,21685,4,[],[],[],[],[],[],0,1531872000,False
2050863,453809,6,2,34,9,14747,4,[],[],[],[],[],[],1,1505001600,False
1884356,931471,3,2,34,9,11626,5,[],[],[],[],[],[],1,1504137600,False
2251253,303550,5,2,34,9,12790,5,[],[],[],[],[],[],1,1521849600,False
361407,343903,1,2,34,9,11626,4,[446044],[539534],[446044],[539534],"[918068, 477296, 885943, 440499, 446044]",[539534],1,1526342400,False
1229260,808703,1,2,34,9,14822,4,[1187507],"[1329278, 1019617]",[1187507],"[1329278, 1019617]","[1031595, 1330769, 1187507]","[1329278, 1019617]",1,1516060800,False
890379,299555,4,2,34,9,11072,1,[],[],[],[],[],[],0,1525996800,False
